"wavelength","dsred_5ul","dsred_5ul_cu","dsred_5ul_cu_edta","lipo_uncleaved_100ul","lipo_uncleaved_100ul_cu","lipo_uncleaved_100ul_cu_edta","lipo_cleaved_100ul","lipo_cleaved_100ul_cu","lipo_cleaved_100ul_cu_edta","lipo_cleaved_275ul","lipo_cleaved_275ul_2","lipo_cleaved_275ul_cu","lipo_cleaved_275ul_cu_edta","lipo_uncleaved_275ul","lipo_uncleaved_275ul_cu","lipo_uncleaved_275ul_cu_edta"
599.8499756,76.65556335,9.601901054,68.86406708,32.76562881,4.824265003,25.98676109,9.910198212,-0.01088523865,8.136802673,26.5837822,23.86736679,2.913799763,15.04913902,69.8147583,10.5268631,60.42992783
600.8800049,73.15518951,8.554401398,69.189888,32.69305038,4.440694332,25.47795105,10.82340813,0.262365818,7.582438946,25.05518913,23.98451996,2.527139187,16.03664017,68.80247498,11.7774353,59.15365601
601.9099731,71.98123169,8.502906799,69.03062439,32.51494598,4.357726574,25.84400749,10.83783531,-0.04953336716,7.818649769,24.38668633,23.83316231,2.741952896,14.85396385,66.95875549,10.69557571,58.53941345
602.9400024,71.83098602,8.70247364,66.943367,32.03663254,4.883070469,24.75730133,10.08072472,-0.3860633373,7.44413805,23.71001244,23.3927002,2.499546051,14.84600258,65.29058075,11.49658775,57.50119781
603.9699707,71.31443787,8.704110146,65.33535767,30.92960167,4.061496258,25.14877701,10.07086754,-0.1187195778,6.857927799,23.71818352,21.80334663,2.181840897,14.8019104,66.67098236,10.03971291,57.80848694
604.8499756,70.05630493,8.234636307,65.84984589,31.52255058,4.168368816,24.59676552,10.1479435,-0.6044449806,6.897002697,23.88329124,23.25158501,2.294057846,14.82410049,66.75772095,10.39079666,57.50314331
605.8800049,70.11460876,8.342148781,64.77832794,30.6033268,4.039170742,23.50643921,9.613285065,-0.7256450653,6.601460934,23.37475204,22.08741188,2.084563732,13.81825829,63.23915482,10.07435799,56.71284103
606.9099731,66.62910461,8.243841171,62.64704514,30.2267971,4.035121441,23.68712234,9.346712112,-0.5530927181,6.513786793,22.72888565,20.846632,1.884052753,13.6992588,63.39906693,9.636816025,53.79577255
607.9400024,67.48822021,8.35396862,62.04661942,30.21366692,3.904806614,23.27708244,9.16702652,-0.9736237526,6.590642452,21.85736847,21.07523918,2.049882412,13.35810089,61.515728,9.538923264,53.22935486
608.9699707,66.09280396,7.637071133,60.43806458,29.23365593,4.214983463,22.7424221,8.369680405,-0.9529664516,5.822899342,21.48547554,20.10866928,1.776408672,12.6330719,60.49831772,9.114133835,51.70620728
609.8499756,64.58955383,7.744740963,59.78124619,29.36400795,3.282937527,21.42392731,8.179786682,-0.8337640762,6.395117283,19.75517082,20.12840652,1.307792664,13.68239021,59.88549423,9.128469467,49.67041016
610.8599854,62.0099411,7.59841156,59.07751465,28.7828846,3.083201885,22.01291275,8.454315186,-0.8249504566,5.563667774,20.46611786,19.60098648,1.094498634,12.34340858,58.31984329,8.002655029,49.23510742
611.8800049,62.64111328,7.200850487,57.71286774,27.72106171,2.617563248,20.56997871,8.137102127,-1.082020283,5.541064739,19.65833855,18.79075623,0.9572224617,11.55545044,56.7922554,8.036354065,48.92781067
612.8900146,61.26403809,7.140908718,54.13157654,28.15177345,2.860660553,20.9053669,7.517063618,-1.232025623,5.279111385,18.93303299,18.78761101,0.9306454659,10.84942245,55.7297821,7.875150204,47.28292465
613.9099731,59.64701462,7.384615421,55.73983002,27.36911011,2.838880062,20.5499382,7.35875082,-1.068501472,5.762457371,18.16896629,17.9437027,0.8146314621,11.02157784,55.53609848,6.943665028,46.16054916
614.9199829,59.36355591,7.190399647,53.95417786,26.50777626,2.882311821,19.960289,7.723621845,-1.275577784,5.036415577,18.73975563,18.01496506,0.5672826767,11.58903122,53.14610291,7.310989857,44.73327255
615.9400024,58.07707596,7.062592506,52.86278152,25.59873581,2.312850475,19.60708618,6.645579815,-1.570678473,4.539448261,17.67904282,16.32620621,0.2034244537,10.453722,50.87548065,6.516989231,44.73069
616.9500122,57.1015358,7.140272617,51.73519135,24.68697166,2.267912388,18.19059372,6.825183392,-1.223030806,4.556785107,17.61833,15.95871162,0.2533144951,10.31754684,51.2767868,7.125109196,42.77874756
617.9699707,55.1651535,6.259933949,50.15433884,24.29628372,2.34083271,17.70109177,6.077487469,-1.478778839,4.060546398,16.45038605,16.05931091,0.1148495674,9.726758957,50.6978035,6.471332073,42.54997253
618.8400269,55.21689606,6.820225716,50.8053894,23.00601768,2.318482399,18.30669022,6.090043545,-1.626858234,3.800204754,15.6805191,15.83904457,0.2779040337,10.26272011,49.94773865,5.718649387,40.46974564
619.8499756,52.54658127,6.38977623,49.14447403,23.27284813,1.570687294,17.23942566,5.807694912,-1.655915737,4.155413151,15.59647179,15.78422165,0.02771139145,9.561395645,47.93046188,6.451081753,40.39036179
620.8599854,51.93115616,6.502623081,48.30820465,23.19217873,1.404771328,17.2789402,5.091175556,-1.699197531,3.738126278,15.2616539,14.7637291,0.2131323814,8.943277359,46.40368271,5.209941387,38.54677582
621.8800049,50.51598358,5.738388062,46.5116272,22.47634506,1.551232815,17.08328247,5.404245853,-1.840591431,3.9080863,13.51515198,14.92298126,-0.4188170433,8.681814194,45.29457092,5.162662983,37.65685272
622.8900146,49.80148697,6.083973885,45.5980072,21.4741478,1.585576534,15.43481064,4.970070362,-1.783807755,3.215826988,13.66117668,13.80512047,-0.4366672039,8.377666473,44.03934479,5.065919399,36.58042145
623.9099731,48.13076782,5.763688564,44.26755905,20.6861515,1.145105839,16.06775856,5.022408009,-1.588601828,3.430575371,13.92801094,14.1846981,-0.2770960331,7.821461201,43.32483292,4.986732006,35.82330704
